epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,49,1.044655680656433,0.7556618452072144,0.5294116735458374,85.0,85.0,39.0,1.4980919361114502,0.7691612243652344,0.5154818892478943,2293.0,2293.0,50.0,1.5375521183013916,0.8001222014427185,0.5316572189331055,2227.0,2227.0,50.0,1.4209946393966675,0.797806978225708,0.513649046421051,1795.0,1795.0,50.0,1.4841772317886353,1.4841773509979248,0.520781397819519,12848.826171875,0.64244130859375
0,99,0.7765544056892395,0.8275254368782043,0.5959596633911133,99.0,99.0,45.0,0.6993235349655151,0.6917291879653931,0.5819184184074402,2356.0,2356.0,50.0,0.6898967027664185,0.6943877339363098,0.568416178226471,2134.0,2134.0,50.0,0.6930065155029297,0.6834492683410645,0.5560464262962341,1811.0,1811.0,50.0,0.6955876350402832,0.6955874562263489,0.5703125,12735.146484375,0.63675732421875
0,149,0.660239040851593,0.604942798614502,0.64705890417099,102.0,102.0,44.0,0.6678156852722168,0.6522670984268188,0.6117296814918518,2336.0,2336.0,50.0,0.6677536368370056,0.6596513986587524,0.5970364212989807,2092.0,2092.0,50.0,0.6678739190101624,0.6631555557250977,0.6064170598983765,1870.0,1870.0,50.0,0.6676914095878601,0.6676916480064392,0.6059376001358032,12610.0986328125,0.630504931640625
0,199,0.6994495987892151,0.7820999622344971,0.5252525210380554,99.0,99.0,42.0,0.6486165523529053,0.6486561298370361,0.6271910667419434,2339.0,2339.0,50.0,0.6438583731651306,0.6358124017715454,0.6439908742904663,2205.0,2205.0,50.0,0.6517483592033386,0.6525763273239136,0.6209449172019958,1757.0,1757.0,50.0,0.6486231088638306,0.6486233472824097,0.629687488079071,12487.0849609375,0.624354248046875
0,228,0.5654760003089905,0.5323623418807983,0.7142857313156128,56.0,56.0,27.0,0.6398407816886902,0.6529312133789062,0.649408221244812,1352.0,1352.0,29.0,0.6373879909515381,0.653915286064148,0.6444445252418518,1260.0,1260.0,29.0,0.6523858308792114,0.6362006068229675,0.6224390864372253,1025.0,1025.0,29.0,0.6416844725608826,0.6413581371307373,0.6412131190299988,12417.150390625,0.62085751953125
1,49,0.6436264514923096,0.5786029100418091,0.6022725701332092,88.0,88.0,43.0,0.6328449845314026,0.6401252746582031,0.6540426015853882,2350.0,2350.0,50.0,0.6358416080474854,0.6467456817626953,0.649560809135437,2163.0,2163.0,50.0,0.6431919932365417,0.6574968099594116,0.642579197883606,1799.0,1799.0,50.0,0.6369145512580872,0.6369144320487976,0.6485937833786011,12296.173828125,0.61480869140625
1,99,0.6542178392410278,0.732469916343689,0.6494845747947693,97.0,97.0,43.0,0.6299197673797607,0.6138792037963867,0.6456351280212402,2314.0,2314.0,50.0,0.6192362308502197,0.6230241060256958,0.6640946269035339,2203.0,2203.0,50.0,0.6128745079040527,0.616607666015625,0.6545350551605225,1786.0,1786.0,50.0,0.6218538284301758,0.6218538284301758,0.6545312404632568,12177.361328125,0.60886806640625
1,149,0.6349532008171082,0.6836552023887634,0.666666567325592,84.0,84.0,43.0,0.6219708323478699,0.6300989985466003,0.6697832942008972,2353.0,2353.0,50.0,0.6349028944969177,0.6400104761123657,0.6508161425590515,2145.0,2145.0,50.0,0.62868332862854,0.6288396716117859,0.6551154851913452,1818.0,1818.0,50.0,0.6283822059631348,0.6283822655677795,0.6592189073562622,12058.6708984375,0.602933544921875
1,199,0.6374959945678711,0.6680788993835449,0.6228070855140686,114.0,114.0,45.0,0.6056936383247375,0.5935894846916199,0.6816239356994629,2340.0,2340.0,50.0,0.6102549433708191,0.6153786182403564,0.6683863401412964,2132.0,2132.0,50.0,0.6058897376060486,0.5821179747581482,0.6642776131629944,1814.0,1814.0,50.0,0.6078353524208069,0.6078351736068726,0.6712498664855957,11941.68359375,0.5970841796875
1,228,0.6623492240905762,0.7258711457252502,0.6206896305084229,58.0,58.0,24.0,0.5897327661514282,0.5756727457046509,0.6921910047531128,1319.0,1319.0,29.0,0.5963954925537109,0.6005662679672241,0.680784285068512,1275.0,1275.0,29.0,0.6003943085670471,0.5900202989578247,0.6772333979606628,1041.0,1041.0,29.0,0.5959224104881287,0.5961788892745972,0.682913601398468,11874.966796875,0.5937483398437501
