epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,49,2.5220749378204346,0.8990616798400879,0.5356652736663818,1458.0,1458.0,50.0,2.792105197906494,1.4860111474990845,0.4898647964000702,1776.0,1776.0,50.0,2.474370002746582,1.520620346069336,0.4765714406967163,1750.0,1750.0,50.0,2.0647470951080322,0.9316795468330383,0.4936440885066986,1416.0,1416.0,50.0,2.482780694961548,2.4827802181243896,0.4974999725818634,416950.65625,20.847532812500003
0,99,0.9739422798156738,0.9185025691986084,0.5180888772010803,1465.0,1465.0,50.0,0.9325090646743774,0.8480044007301331,0.5308572053909302,1750.0,1750.0,50.0,1.042542815208435,1.1674684286117554,0.5131429433822632,1750.0,1750.0,50.0,1.03851318359375,0.7656384706497192,0.49895474314689636,1435.0,1435.0,50.0,0.9958489537239075,0.9958488345146179,0.5159375667572021,415246.40625,20.7623203125
0,149,0.7778095602989197,0.716612696647644,0.5315380692481995,1411.0,1411.0,50.0,0.7429646849632263,0.7689673900604248,0.519031286239624,1734.0,1734.0,50.0,0.8722593784332275,1.0077320337295532,0.5204480886459351,1785.0,1785.0,50.0,0.8506965637207031,0.7557505369186401,0.5414966940879822,1470.0,1470.0,50.0,0.8114525079727173,0.8114526867866516,0.5273438692092896,411169.625,20.55848125
0,199,0.7214822173118591,0.7919666767120361,0.5465839505195618,1449.0,1449.0,50.0,0.7782460451126099,0.7059012055397034,0.5337143540382385,1750.0,1750.0,50.0,0.8100007772445679,0.7710610628128052,0.5422040224075317,1706.0,1706.0,50.0,0.7473291754722595,0.7934743762016296,0.5418059825897217,1495.0,1495.0,50.0,0.7666371464729309,0.7666369676589966,0.5407812595367432,407100.34375,20.3550171875
0,249,0.6746986508369446,0.6590433120727539,0.5817517638206482,1370.0,1370.0,50.0,0.7015958428382874,0.6748490333557129,0.592200517654419,1795.0,1795.0,50.0,0.7350786328315735,0.6919480562210083,0.5607162117958069,1787.0,1787.0,50.0,0.6652204990386963,0.6519149541854858,0.6001380681991577,1448.0,1448.0,50.0,0.6969571709632874,0.6969572901725769,0.5829687118530273,403055.40625,20.1527703125
0,294,0.700219988822937,0.6793878674507141,0.603212833404541,1245.0,1245.0,45.0,0.6659942865371704,0.6858253479003906,0.6133500933647156,1588.0,1588.0,45.0,0.6858566403388977,0.6640022993087769,0.5984801054000854,1579.0,1579.0,45.0,0.6847743988037109,0.6763564348220825,0.5849647521972656,1277.0,1277.0,45.0,0.6834567785263062,0.6832127571105957,0.6006327867507935,399442.8125,19.972140625
1,49,0.7650832533836365,0.6919464468955994,0.6459927558898926,1435.0,1435.0,50.0,0.7170929312705994,0.7130533456802368,0.6320224404335022,1780.0,1780.0,50.0,0.7211874127388,0.7257512211799622,0.6358381509780884,1730.0,1730.0,50.0,0.7013691663742065,0.7000424861907959,0.6336769461631775,1455.0,1455.0,50.0,0.7253854870796204,0.725385308265686,0.6365624070167542,395461.8125,19.773090625000002
1,99,0.672042727470398,0.6279689073562622,0.6072444319725037,1408.0,1408.0,50.0,0.6417416334152222,0.6458413600921631,0.6394636034965515,1789.0,1789.0,50.0,0.6916519999504089,0.6748425960540771,0.6334276795387268,1765.0,1765.0,50.0,0.6572198271751404,0.6610770225524902,0.6098747849464417,1438.0,1438.0,50.0,0.665649950504303,0.6656500101089478,0.6240625381469727,391525.1875,19.576259375
1,149,0.6452202796936035,0.6345816254615784,0.6689798831939697,1441.0,1441.0,50.0,0.6565493941307068,0.6748698353767395,0.6477733254432678,1729.0,1729.0,50.0,0.6510831117630005,0.6525099277496338,0.6499424576759338,1734.0,1734.0,50.0,0.6430529356002808,0.6151077747344971,0.6483957767486572,1496.0,1496.0,50.0,0.6493627429008484,0.6493628025054932,0.6532813310623169,387627.25,19.3813625
1,199,0.6761295795440674,0.7117255926132202,0.6249130964279175,1437.0,1437.0,50.0,0.6879976987838745,0.7184258103370667,0.6300055384635925,1773.0,1773.0,50.0,0.6744112372398376,0.7294309735298157,0.6404109001159668,1752.0,1752.0,50.0,0.6389420628547668,0.6160476207733154,0.6641167402267456,1438.0,1438.0,50.0,0.6705915927886963,0.6705914735794067,0.6393749713897705,383767.5,19.188375
1,249,0.6553152799606323,0.6661862730979919,0.6666667461395264,1422.0,1422.0,50.0,0.6353886127471924,0.6364326477050781,0.6609668731689453,1696.0,1696.0,50.0,0.6329764723777771,0.642436146736145,0.6453392505645752,1813.0,1813.0,50.0,0.6324371695518494,0.6316978335380554,0.653505802154541,1469.0,1469.0,50.0,0.6384552717208862,0.6384552717208862,0.6560937166213989,379947.9375,18.997396875
1,294,0.6289880871772766,0.6318912506103516,0.6844621300697327,1255.0,1255.0,45.0,0.6410529017448425,0.6449228525161743,0.6623615622520447,1626.0,1626.0,45.0,0.6555688381195068,0.6252316832542419,0.6781831383705139,1563.0,1563.0,45.0,0.6282020211219788,0.6019359827041626,0.6554218530654907,1245.0,1245.0,45.0,0.6399859189987183,0.6395671963691711,0.6700650453567505,376542.1875,18.827109375
2,49,0.6504442691802979,0.6393250226974487,0.6512123942375183,1402.0,1402.0,50.0,0.6296300292015076,0.6345468163490295,0.6404800415039062,1833.0,1833.0,50.0,0.6486548185348511,0.641068696975708,0.6456422209739685,1744.0,1744.0,50.0,0.6240624189376831,0.6314233541488647,0.6530610918998718,1421.0,1421.0,50.0,0.6381376385688782,0.6381377577781677,0.6470311880111694,372795.46875,18.6397734375
2,99,0.6340039372444153,0.6374837756156921,0.6712032556533813,1396.0,1396.0,50.0,0.6366658806800842,0.6141305565834045,0.6596230864524841,1751.0,1751.0,50.0,0.6154739856719971,0.6367967128753662,0.687883734703064,1791.0,1791.0,50.0,0.6094303131103516,0.611333429813385,0.6655266284942627,1462.0,1462.0,50.0,0.6239331364631653,0.6239331960678101,0.6714061498641968,369085.25,18.454262500000002
2,149,0.6153518557548523,0.6318503618240356,0.6842475533485413,1422.0,1422.0,50.0,0.620424747467041,0.6101067066192627,0.6729281544685364,1810.0,1810.0,50.0,0.6166567802429199,0.6235178112983704,0.6716504096984863,1739.0,1739.0,50.0,0.6090012192726135,0.6354094743728638,0.6899929642677307,1429.0,1429.0,50.0,0.6157231330871582,0.6157231330871582,0.678906261920929,365412.375,18.27061875
